Code Name,Tiff,File Name,Date imaged,mouse,Position,size,Voxel size,Region,Zdim,notes,xyDim
mono_d1_02,Yes,image 14_Stitch.czi,20-Oct-20,1,2,638x638x90.6,.415x.415x.52,core,0.52,,0.415
mono_d1_01,Yes,image 13.czi,20-Oct-20,1,1,213x213x69.7,.415x.415x.52,core,0.52,,0.415
mono_d1_03,Yes,mono day 1 mouse 1 position 1_Stitch,28-Jan-21,1,1,595x595x238,.208x.208x.52,edge,0.52,"imaged 14 hrs after harvest, bad quality",0.208
mono_d1_04,Yes,mono day 1 mouse 1 position 2_Stitch,28-Jan-21,1,2,595x595x138,.208x.208x.52,core,0.52,doesnt look as bad as first position,0.208
mono_d1_05,Yes,mono day 1 mouse 1 position 3_Stitch,28-Jan-21,1,3,595x595x69.7,.208x.208x.52,edge,0.52,significant green bleed ,0.208
mono_d1_06,Yes,mono day 1 mouse 2 position 1_Stitch,28-Jan-21,2,1,786x786x65,.208x.208x.52,edge,0.52,smaller aggregates,0.208
mono_d1_07,Yes,mono day 1 mouse 2 position 2_Stitch,28-Jan-21,2,2,786x786x108,.208x.208x.52,core,0.52,lots of cells,0.208
mono_d1_08,Yes,mono day 1 mouse 2 position 3_Stitch,28-Jan-21,2,3,786x786x55.7,.208x.208x.52,edge,0.52,,0.208
mono_d1_09,Yes,mouse 1 position 1_Stitich,12-Mar-21,1,1,787x787x20,.208x.208x.365,core,0.365,heavy overlap in blue and red,0.208
mono_d1_10,Yes,mouse 1 position 2_Stitich,12-Mar-21,1,2,595x595x29.6,.208x.208x.365,core,0.365,"blue-red overlap, very few cells",0.208
mono_d1_11,Yes,mouse 1 position 3_Stitich,12-Mar-21,1,3,787x787x18.6,.208x.208x.365,edge,0.365,"can see edge of tissue, but very few bugs",0.208
mono_d1_12,Yes,mouse 2 position 1_Stitich,12-Mar-21,2,1,595x595x23,.208x.208x.365,edge,0.365,"blue-red overlap, very few cells",0.208
mono_d1_13,Yes,mouse 2 position 2_Stitich,12-Mar-21,2,2,786x786x25.2,.208x.208x.365,core,0.365,a lot of green fluorescence where it shouldnt be,0.208
mono_d1_14,Yes,mouse 2 position 3_Stitich,12-Mar-21,2,3,787x787x24.4,.208x.208x.365,edge,0.365,more cells than in previous areas,0.208
mono_d1_15,Yes,mouse 2 position 4_Stitich,12-Mar-21,2,4,787x787x24.8,.208x.208x.365,edge,0.365,intermediate amount of cells,0.208
mono_d4_01,Yes,image 8_Stitch.czi,19-Oct-20,1,1,595x595x88,.415x.415x.52,core,0.52,,0.415
mono_d4_02,Yes,image 10.czi,19-Oct-20,1,2,231x213x47.9,.415x.415x.52,edge,0.52,,0.415
mono_d4_03,Yes,image 11.czi,19-Oct-20,1,3,213x213x61.4,.415x.415x.52,edge,0.52,,0.415
mono_d4_04,Yes,image 13_Stitch,19-Oct-20,2,1,595x595x31.2,.415x.415x.52,core,0.52,,0.415
mono_d4_05,Yes,image 15.czi,19-Oct-20,2,2,213x213x69.7,.415x.415x.52,core,0.52,,0.415
papqsL_d4_01,No,pqsL_2021_05_25__21_50_18_Stitch,25-May-21,3,1,378x378x37.9,.132x.132x.361,edge,0.361,blue overlap with red,0.132
phz_d1_01,Yes,Image 11 Block 1_Stitch.czi,9-Nov-20,1,1,595x595x70.8,.415x.415x.52,edge,0.52,,0.415
phz_d1_02,Yes,Image 11 Block 2_Stitch.czi,9-Nov-20,1,2,595x595x86.4,.415x.415x.52,edge,0.52,,0.415
phz_d1_03,Yes,Image 11 Block 3_Stitch.czi,9-Nov-20,1,3,598x595x34.3,.415x.415x.52,core,0.52,,0.415
phz_d1_04,Yes,Image 11 Block 4_Stitch.czi,9-Nov-20,1,4,595x595x67,.415x.415x.52,core,0.52,,0.415
